Artist,avgSent,deltaSTotal,deltaSEarly,deltaSLate
ABBA,"[0.09, 0.045, 0.865]","[-0.028, -0.007, 0.035]","[-0.012, -0.003, 0.015]","[-0.017, -0.003, 0.02]"
Adam Sandler,"[0.059, 0.042, 0.899]","[0.015, 0.006, -0.022]","[0.003, 0.003, -0.006]","[0.012, 0.004, -0.016]"
Adele,"[0.075, 0.05, 0.875]","[0.013, -0.008, -0.005]","[0.01, -0.0, -0.01]","[0.003, -0.008, 0.005]"
Aerosmith,"[0.07, 0.042, 0.888]","[-0.006, -0.001, 0.007]","[0.001, 0.003, -0.004]","[-0.006, -0.005, 0.011]"
Air Supply,"[0.088, 0.047, 0.865]","[-0.0, 0.004, -0.004]","[-0.01, -0.002, 0.012]","[0.01, 0.006, -0.016]"
Aiza Seguerra,"[0.067, 0.03, 0.904]","[-0.044, -0.024, 0.068]","[0.005, 0.002, -0.006]","[-0.048, -0.025, 0.074]"
Alabama,"[0.07, 0.035, 0.895]","[0.002, 0.001, -0.003]","[0.002, -0.004, 0.002]","[-0.0, 0.004, -0.004]"
Aled Jones,"[0.063, 0.041, 0.896]","[0.012, -0.001, -0.011]","[0.021, 0.001, -0.022]","[-0.009, -0.002, 0.011]"
Alice Cooper,"[0.064, 0.056, 0.88]","[0.011, -0.029, 0.018]","[0.004, -0.03, 0.025]","[0.006, 0.001, -0.007]"
Alison Krauss,"[0.073, 0.047, 0.88]","[0.001, -0.003, 0.002]","[0.0, 0.003, -0.003]","[0.001, -0.005, 0.004]"
Alphaville,"[0.07, 0.051, 0.878]","[0.005, 0.001, -0.006]","[0.006, 0.003, -0.009]","[-0.001, -0.001, 0.002]"
America,"[0.072, 0.036, 0.892]","[-0.001, 0.006, -0.005]","[-0.004, 0.006, -0.002]","[0.002, 0.0, -0.003]"
Amy Grant,"[0.092, 0.048, 0.86]","[-0.004, -0.01, 0.014]","[-0.008, -0.006, 0.013]","[0.003, -0.004, 0.001]"
Andy Williams,"[0.087, 0.039, 0.874]","[-0.022, -0.018, 0.04]","[-0.015, -0.009, 0.024]","[-0.007, -0.009, 0.015]"
Annie,"[0.105, 0.06, 0.835]","[-0.008, -0.0, 0.008]","[-0.008, -0.003, 0.011]","[0.0, 0.003, -0.003]"
Ariana Grande,"[0.088, 0.034, 0.877]","[0.021, -0.021, 0.0]","[-0.013, -0.007, 0.02]","[0.034, -0.014, -0.02]"
Ariel Rivera,"[0.052, 0.03, 0.918]","[-0.017, -0.017, 0.034]","[-0.014, -0.013, 0.027]","[-0.003, -0.003, 0.007]"
Arlo Guthrie,"[0.051, 0.035, 0.915]","[-0.001, -0.011, 0.012]","[-0.004, -0.009, 0.013]","[0.003, -0.002, -0.001]"
Avril Lavigne,"[0.088, 0.047, 0.866]","[0.04, 0.012, -0.051]","[0.014, 0.008, -0.021]","[0.026, 0.004, -0.03]"
Backstreet Boys,"[0.093, 0.043, 0.864]","[0.003, -0.01, 0.007]","[0.007, -0.013, 0.006]","[-0.004, 0.003, 0.001]"
Barbra Streisand,"[0.096, 0.048, 0.856]","[0.005, -0.003, -0.002]","[-0.009, 0.01, -0.001]","[0.014, -0.013, -0.001]"
Beach Boys,"[0.089, 0.046, 0.864]","[-0.019, -0.008, 0.027]","[-0.011, -0.005, 0.015]","[-0.008, -0.004, 0.012]"
The Beatles,"[0.07, 0.038, 0.892]","[0.068, 0.037, -0.105]","[0.037, 0.02, -0.057]","[0.031, 0.017, -0.048]"
Bee Gees,"[0.079, 0.043, 0.879]","[0.014, 0.011, -0.025]","[0.019, 0.014, -0.033]","[-0.005, -0.004, 0.009]"
Bette Midler,"[0.08, 0.042, 0.878]","[0.022, 0.013, -0.035]","[0.014, 0.006, -0.02]","[0.007, 0.007, -0.014]"
Bill Withers,"[0.107, 0.042, 0.851]","[-0.049, -0.0, 0.05]","[-0.023, 0.009, 0.014]","[-0.026, -0.01, 0.036]"
Billie Holiday,"[0.088, 0.05, 0.862]","[0.048, 0.022, -0.07]","[0.038, 0.016, -0.054]","[0.01, 0.006, -0.016]"
Billy Joel,"[0.071, 0.048, 0.881]","[-0.007, -0.004, 0.011]","[-0.008, -0.002, 0.01]","[0.001, -0.002, 0.001]"
Bing Crosby,"[0.073, 0.032, 0.895]","[0.041, 0.019, -0.06]","[0.036, 0.021, -0.057]","[0.005, -0.002, -0.003]"
Black Sabbath,"[0.068, 0.058, 0.875]","[0.0, 0.012, -0.012]","[0.002, 0.008, -0.011]","[-0.002, 0.003, -0.001]"
Blur,"[0.067, 0.043, 0.89]","[0.012, -0.014, 0.002]","[0.006, -0.011, 0.005]","[0.006, -0.003, -0.003]"
Bob Dylan,"[0.06, 0.04, 0.9]","[0.006, -0.015, 0.009]","[0.009, -0.011, 0.001]","[-0.004, -0.004, 0.008]"
Bob Rivers,"[0.06, 0.043, 0.897]","[-0.024, 0.008, 0.016]","[0.017, -0.016, -0.001]","[-0.041, 0.024, 0.017]"
Bob Seger,"[0.074, 0.045, 0.881]","[0.03, 0.027, -0.057]","[0.018, 0.017, -0.035]","[0.012, 0.01, -0.022]"
Bon Jovi,"[0.073, 0.043, 0.884]","[-0.025, 0.018, 0.007]","[-0.005, 0.016, -0.011]","[-0.019, 0.002, 0.018]"
Boney M.,"[0.071, 0.043, 0.887]","[0.0, 0.005, -0.005]","[0.012, 0.011, -0.024]","[-0.012, -0.007, 0.019]"
Bonnie Raitt,"[0.087, 0.05, 0.863]","[-0.003, 0.014, -0.011]","[0.006, 0.011, -0.018]","[-0.009, 0.003, 0.006]"
