ABBA,"Andante, Andante",11/7/05,,,,,,,,,,,,
ABBA,As Good As New,2002,,,,,,,,,,,,
ABBA,Bang-A-Boomerang,1998,,,,,,,,,,,,
ABBA,Chiquitita,1997,,,,,,,,,,,,
ABBA,Disillusion,10/27/08,,,,,,,,,,,,
ABBA,Does Your Mother Know,1998,,,,,,,,,,,,
ABBA,Dream World,5/31/10,,,,,,,,,,,,
ABBA,Dum Dum Diddle,2002,,,,,,,,,,,,
ABBA,Eagle,1989,,,,,,,,,,,,
ABBA,Fernando,9/26/14,,,,,,,,,,,,
ABBA,Fernando (In Spanish),1977,,,,,,,,,,,,
ABBA,From A Twinkling Star To A Passing Angel,4/24/12,,,,,,,,,,,,
ABBA,Gonna Sing You My Lovesong,1998,,,,,,,,,,,,
ABBA,Happy Hawaii,10/16/06,,,,,,,,,,,,  
ABBA,He Is Your Brother,1972-11,,,,,,,,,,,,
ABBA,Hole In Your Soul,2004,,,,,,,,,,,,
ABBA,I Am The City,2002,,,,,,,,,,,,
ABBA,"I Do, I Do, I Do, I Do, I Do",1976,,,,,,,,,,,,
ABBA,I Have A Dream,3/1/10,,,,,,,,,,,,
ABBA,I Let The Music Speak,1998,,,,,,,,,,,,
ABBA,I Saw It In The Mirror,1988,,,,,,,,,,,,
ABBA,I Wonder (Departure),2000,,,,,,,,,,,,
ABBA,I Wonder (Departure) [Live],2000,,,,,,,,,,,,
ABBA,I'm A Marionette,,,,,,,,,,,,,
ABBA,I've Been Waiting For You,12/6/10,,,,,,,,,,,,
ABBA,King Kong Song,2009,,,,,,,,,,,,
ABBA,Kisses Of Fire,2002,,,,,,,,,,,,
ABBA,Lay All Your Love On Me,2003,,,,,,,,,,,,
ABBA,Like An Angel Passing Through My Room,2002,,,,,,,,,,,,
ABBA,Mamma Mia,2005,,,,,,,,,,,,
ABBA,Man In The Middle,12/6/10,,,,,,,,,,,,
ABBA,Me And Bobby And Bobby's Brother,10/27/08,,,,,,,,,,,,
ABBA,Me And I,1998,,,,,,,,,,,,
